legacy_agora_id,legacy_name,legacy_family,status,score,method,winerim_agora_id,winerim_product_name,winerim_family,duplicates
165,ENATE CHILLIDA,SOMONTANO,NO_MATCH,0,,,,,0
168,ENATE CRIANÇA,SOMONTANO,NO_MATCH,64,FUZZY,764516,B Muga Crianza,TINTOS WINERIM,0
166,ENATE DOS MIL DOS,SOMONTANO,NO_MATCH,0,,,,,0
164,ENATE SYRAH-SHIRAZ,SOMONTANO,NO_MATCH,0,,,,,0
161,GRAN VOS VIÑAS DEL VERO,SOMONTANO,NO_MATCH,62,FUZZY,764631,B Carrasviñas Verdejo,BLANCOS WINERIM,0
162,SEÑORIO DE LAZAN,SOMONTANO,NO_MATCH,60,FUZZY,765206,B Notes De Blanc,BLANCOS WINERIM,0
167,VDV PINOT NOIR,SOMONTANO,NO_MATCH,0,,,,,0
515,Algars,TERRA ALTA,MATCH,92,CONTAINS,765279,B Algars Rosat,ROSADOS WINERIM,3
52,BARBARA FORES COMA POU,TERRA ALTA,REVIEW,78,FUZZY,764600,B Bàrbara Forés Rosat,ROSADOS WINERIM,0
53,BARBARA FORES NEGRE,TERRA ALTA,MATCH,100,EXACT,763387,B Bàrbara Forés Negre,TINTOS WINERIM,0
55,EL TEMPLARI,TERRA ALTA,MATCH,100,EXACT,765286,B El Templari,TINTOS WINERIM,0
54,LLAGRIMES DE TARDOR,TERRA ALTA,MATCH,92,CONTAINS,763607,B Llàgrimes de Tardor Criança,TINTOS WINERIM,0
58,MIL·LENIUM,TERRA ALTA,NO_MATCH,0,,,,,0
57,SOMDINOU,TERRA ALTA,NO_MATCH,0,,,,,0
51,VALL DE BARRUS,TERRA ALTA,NO_MATCH,0,,,,,0
56,VIA EDETANA,TERRA ALTA,MATCH,100,EXACT,763608,B Via Edetana,TINTOS WINERIM,0
183,LIBERALIA 4,TORO,NO_MATCH,0,,,,,0
184,MUNIA ESPECIAL,TORO,NO_MATCH,0,,,,,0
181,NUMANTHIA,TORO,NO_MATCH,0,,,,,0
